Best score of 198.93 achieved after training 186 episodes
Chosen hyperparameters: {'seed': 10, 'observation': 'NGreedy5', 'environment': <environment.Environment object at 0x000002549E35FFD0>, 'variant': 0, 'input_shape': 29, 'hidden_size': 256, 'early_stopping': 20, 'validation_after_episodes': 5, 'lr_actor': 0.001, 'lr_critic_1': 0.005, 'lr_critic_2': 0.005, 'return_lambda': 0.875, 'gamma': 0.9, 'clip_epsilon': 0.05, 'episode_steps': 200, 'no_of_actors': 10, 'actor_updates_per_episode': 100, 'critic_updates_per_episode': 100, 'clip_annealing_factor': 0.99}

Episode number of best validation run: 186

Actions taken in best validation run: [0, 3, 2, 2, 2, 4, 4, 4, 1, 3, 2, 4, 1, 4, 3, 3, 2, 0, 1, 4, 1, 3, 2, 4, 1, 2, 2, 2, 2, 4, 4, 4, 4, 1, 1, 2, 3, 2, 2, 3, 4, 4, 4, 2, 1, 4, 3, 0, 2, 2, 1, 4, 4, 3, 1, 1, 2, 2, 3, 4, 4, 3, 3, 3, 1, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 1, 3, 3, 1, 1, 3, 2, 2, 2, 2, 4, 4, 4, 1, 4, 3, 3, 2, 2, 4, 4, 1, 1, 1, 3, 3, 2, 2, 2, 4, 4, 4, 1, 4, 0, 4, 2, 2, 2, 4, 4, 4, 2, 4, 3, 2, 2, 2, 4, 4, 1, 4, 2, 4, 1, 1, 3, 3, 4, 4, 4, 4, 4, 1, 3, 4, 0, 4, 0, 0, 2, 2, 4, 4, 2, 2, 2, 4, 4, 4, 2, 2, 4, 4, 3, 2, 2, 4, 4, 1, 4, 0, 4, 2, 2, 2, 2, 4, 4, 4, 4, 2, 1, 4, 3, 3, 1, 1, 1, 2, 4, 3, 3, 2, 2, 2, 2, 1, 3, 4, 4, 4, 4, 0, 0]

Score history:
episode: 34 | episode reward: -2.60 | validation reward: None | actor loss: 0.02 | actions: [37.2, 3.9, 33.5, 123.5, 1.9]
episode: 35 | episode reward: -2.20 | validation reward: -1.72 | actor loss: 0.06 | actions: [37.3, 4.6, 29.9, 125.1, 3.1]
episode: 36 | episode reward: -1.10 | validation reward: None | actor loss: -0.13 | actions: [34.7, 6.2, 32.7, 122.0, 4.4]
episode: 37 | episode reward: -2.70 | validation reward: None | actor loss: 0.02 | actions: [34.7, 3.2, 30.8, 129.9, 1.4]
episode: 38 | episode reward: -1.35 | validation reward: None | actor loss: 0.02 | actions: [37.1, 11.6, 32.9, 102.6, 15.8]
episode: 39 | episode reward: -4.00 | validation reward: None | actor loss: 0.02 | actions: [36.4, 5.9, 39.0, 115.0, 3.7]
episode: 40 | episode reward: -2.00 | validation reward: -0.87 | actor loss: -0.05 | actions: [32.6, 3.9, 36.3, 124.7, 2.5]
episode: 41 | episode reward: 0.70 | validation reward: None | actor loss: -0.05 | actions: [35.7, 6.4, 34.3, 116.4, 7.2]
episode: 42 | episode reward: 2.70 | validation reward: None | actor loss: -0.07 | actions: [36.1, 11.1, 30.1, 111.5, 11.2]
episode: 43 | episode reward: -4.50 | validation reward: None | actor loss: 0.12 | actions: [36.3, 4.6, 35.4, 121.9, 1.8]
episode: 44 | episode reward: -1.90 | validation reward: None | actor loss: -0.06 | actions: [34.7, 1.5, 34.3, 128.6, 0.9]
episode: 45 | episode reward: 0.60 | validation reward: -0.72 | actor loss: -0.09 | actions: [38.1, 4.6, 31.4, 120.5, 5.4]
episode: 46 | episode reward: -6.90 | validation reward: None | actor loss: 0.08 | actions: [38.0, 5.1, 38.6, 116.5, 1.8]
episode: 47 | episode reward: -0.80 | validation reward: None | actor loss: -0.03 | actions: [35.6, 2.0, 28.4, 130.3, 3.7]
episode: 48 | episode reward: -0.10 | validation reward: None | actor loss: -0.00 | actions: [36.9, 2.2, 30.8, 127.9, 2.2]
episode: 49 | episode reward: 2.70 | validation reward: None | actor loss: -0.07 | actions: [36.0, 4.0, 30.8, 122.1, 7.1]
episode: 50 | episode reward: 1.50 | validation reward: 1.63 | actor loss: 0.02 | actions: [41.1, 6.4, 32.1, 110.6, 9.8]
episode: 51 | episode reward: -2.70 | validation reward: None | actor loss: 0.11 | actions: [38.2, 3.2, 34.7, 118.6, 5.3]
episode: 52 | episode reward: -4.25 | validation reward: None | actor loss: 0.25 | actions: [38.6, 4.8, 33.8, 115.4, 7.4]
episode: 53 | episode reward: -1.30 | validation reward: None | actor loss: -0.21 | actions: [42.3, 5.1, 38.0, 111.2, 3.4]
episode: 54 | episode reward: -1.40 | validation reward: None | actor loss: -0.04 | actions: [46.2, 3.3, 36.1, 112.6, 1.8]
episode: 55 | episode reward: 4.40 | validation reward: 0.68 | actor loss: -0.08 | actions: [44.9, 10.7, 34.2, 95.6, 14.6]
episode: 56 | episode reward: 0.70 | validation reward: None | actor loss: 0.10 | actions: [40.9, 4.5, 35.8, 116.8, 2.0]
episode: 57 | episode reward: -0.40 | validation reward: None | actor loss: 0.09 | actions: [47.4, 11.7, 40.3, 92.4, 8.2]
episode: 58 | episode reward: -2.10 | validation reward: None | actor loss: 0.02 | actions: [50.9, 7.0, 35.9, 103.9, 2.3]
episode: 59 | episode reward: -1.65 | validation reward: None | actor loss: 0.16 | actions: [41.6, 15.2, 35.3, 95.5, 12.4]
episode: 60 | episode reward: 1.80 | validation reward: 0.50 | actor loss: -0.05 | actions: [44.0, 2.9, 37.1, 113.2, 2.8]
episode: 61 | episode reward: -2.00 | validation reward: None | actor loss: 0.05 | actions: [44.9, 6.2, 35.1, 110.5, 3.3]
episode: 62 | episode reward: -1.50 | validation reward: None | actor loss: -0.00 | actions: [57.4, 18.5, 44.2, 71.6, 8.3]
episode: 63 | episode reward: -0.50 | validation reward: None | actor loss: -0.01 | actions: [60.8, 19.7, 52.6, 62.1, 4.8]
episode: 64 | episode reward: 1.30 | validation reward: None | actor loss: -0.06 | actions: [46.2, 8.3, 38.8, 104.0, 2.7]
episode: 65 | episode reward: 0.40 | validation reward: 2.84 | actor loss: -0.03 | actions: [45.9, 2.3, 38.4, 111.4, 2.0]
episode: 66 | episode reward: 3.40 | validation reward: None | actor loss: 0.08 | actions: [60.1, 12.0, 49.5, 68.2, 10.2]
episode: 67 | episode reward: 1.40 | validation reward: None | actor loss: 0.09 | actions: [57.3, 20.9, 44.8, 61.2, 15.8]
episode: 68 | episode reward: 3.20 | validation reward: None | actor loss: -0.09 | actions: [56.3, 10.1, 45.2, 81.0, 7.4]
episode: 69 | episode reward: 7.30 | validation reward: None | actor loss: -0.05 | actions: [60.6, 13.8, 43.7, 73.8, 8.1]
episode: 70 | episode reward: 3.40 | validation reward: 3.55 | actor loss: 0.13 | actions: [55.9, 11.1, 44.6, 75.1, 13.3]
episode: 71 | episode reward: -0.10 | validation reward: None | actor loss: 0.07 | actions: [69.7, 16.4, 62.0, 50.2, 1.7]
episode: 72 | episode reward: 2.30 | validation reward: None | actor loss: -0.00 | actions: [59.3, 19.9, 53.3, 60.9, 6.6]
episode: 73 | episode reward: 4.10 | validation reward: None | actor loss: -0.12 | actions: [72.5, 18.0, 55.3, 50.5, 3.7]
episode: 74 | episode reward: -0.50 | validation reward: None | actor loss: 0.09 | actions: [77.1, 23.5, 58.2, 33.9, 7.3]
episode: 75 | episode reward: 3.20 | validation reward: 4.13 | actor loss: -0.03 | actions: [62.5, 18.1, 51.7, 61.3, 6.4]
episode: 76 | episode reward: 1.10 | validation reward: None | actor loss: -0.03 | actions: [63.2, 8.5, 45.3, 78.6, 4.4]
episode: 77 | episode reward: 4.15 | validation reward: None | actor loss: 0.01 | actions: [82.8, 21.5, 59.9, 26.0, 9.8]
episode: 78 | episode reward: 3.30 | validation reward: None | actor loss: 0.00 | actions: [66.2, 13.1, 44.6, 64.7, 11.4]
episode: 79 | episode reward: 0.05 | validation reward: None | actor loss: 0.20 | actions: [74.8, 42.2, 58.4, 13.8, 10.8]
episode: 80 | episode reward: 3.90 | validation reward: 3.49 | actor loss: -0.06 | actions: [78.5, 23.3, 63.6, 24.7, 9.9]
episode: 81 | episode reward: 0.60 | validation reward: None | actor loss: 0.05 | actions: [69.8, 29.5, 60.6, 34.5, 5.6]
episode: 82 | episode reward: 6.70 | validation reward: None | actor loss: -0.02 | actions: [46.1, 7.3, 43.8, 77.5, 25.3]
episode: 83 | episode reward: 3.90 | validation reward: None | actor loss: 0.01 | actions: [88.1, 26.0, 63.7, 17.6, 4.6]
